sub_name,sub_id,ses_a_pt,ses_v_pt
ML,1,42.0442642204734,95.8457253066119
SX,2,33.0394051212086,93.2788701846852
RC,3,18.4040347627528,44.0446995863971
SM,4,76.8355837222829,86.4558351634306
OY,5,55.0331906034582,69.8888513406193
