VE_Ashift,VE_Ashift_crr,nTrials,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
4.42691913529894,-4.42691913529894,10,congruent,pre,-24,24,PW,1
2.90996474371285,-2.90996474371285,20,congruent,pre,-16,16,PW,1
1.40327093259695,-1.40327093259695,30,congruent,pre,-8,8,PW,1
3.20149314879742,3.20149314879742,40,congruent,pre,0,0,PW,1
8.42811213267665,8.42811213267665,30,congruent,pre,8,8,PW,1
12.6473484801814,12.6473484801814,20,congruent,pre,16,16,PW,1
17.227627269603,17.227627269603,10,congruent,pre,24,24,PW,1
0.958109966963698,-0.958109966963698,10,congruent,post,-24,24,PW,1
-1.41551702138625,1.41551702138625,20,congruent,post,-16,16,PW,1
-2.90455777839762,2.90455777839762,30,congruent,post,-8,8,PW,1
2.22855066029247,2.22855066029247,40,congruent,post,0,0,PW,1
8.09856503302263,8.09856503302263,30,congruent,post,8,8,PW,1
12.7136889499285,12.7136889499285,20,congruent,post,16,16,PW,1
21.0445152994289,21.0445152994289,10,congruent,post,24,24,PW,1
11.6285939137623,-11.6285939137623,10,incongruent,pre,-24,24,PW,1
3.68553997675182,-3.68553997675182,20,incongruent,pre,-16,16,PW,1
-0.241005357059265,0.241005357059265,30,incongruent,pre,-8,8,PW,1
2.74447522082513,2.74447522082513,40,incongruent,pre,0,0,PW,1
8.77653092491994,8.77653092491994,30,incongruent,pre,8,8,PW,1
10.308704215828,10.308704215828,20,incongruent,pre,16,16,PW,1
13.3355003706752,13.3355003706752,10,incongruent,pre,24,24,PW,1
8.73864735420048,-8.73864735420048,10,incongruent,post,-24,24,PW,1
3.4052148990041,-3.4052148990041,20,incongruent,post,-16,16,PW,1
-3.15924218694787,3.15924218694787,30,incongruent,post,-8,8,PW,1
2.59966277199331,2.59966277199331,40,incongruent,post,0,0,PW,1
8.41814116334687,8.41814116334687,30,incongruent,post,8,8,PW,1
12.196209287343,12.196209287343,20,incongruent,post,16,16,PW,1
22.4138751968893,22.4138751968893,10,incongruent,post,24,24,PW,1
-7.79676588044588,7.79676588044588,10,congruent,pre,-24,24,SW,2
-8.21982386574923,8.21982386574923,20,congruent,pre,-16,16,SW,2
-6.79390434299924,6.79390434299924,30,congruent,pre,-8,8,SW,2
-3.20875129761408,-3.20875129761408,40,congruent,pre,0,0,SW,2
0.25972449421013,0.25972449421013,30,congruent,pre,8,8,SW,2
3.53362459601775,3.53362459601775,20,congruent,pre,16,16,SW,2
7.96605430225108,7.96605430225108,10,congruent,pre,24,24,SW,2
-8.37756024245927,8.37756024245927,10,congruent,post,-24,24,SW,2
-8.62974769481587,8.62974769481587,20,congruent,post,-16,16,SW,2
-6.59886586187967,6.59886586187967,30,congruent,post,-8,8,SW,2
-2.67047649955047,-2.67047649955047,40,congruent,post,0,0,SW,2
0.635999324913712,0.635999324913712,30,congruent,post,8,8,SW,2
3.01908346819588,3.01908346819588,20,congruent,post,16,16,SW,2
8.39739997951879,8.39739997951879,10,congruent,post,24,24,SW,2
-3.48806769843462,3.48806769843462,10,incongruent,pre,-24,24,SW,2
-3.07240044013625,3.07240044013625,20,incongruent,pre,-16,16,SW,2
-6.65849007392266,6.65849007392266,30,incongruent,pre,-8,8,SW,2
-2.9654205286221,-2.9654205286221,40,incongruent,pre,0,0,SW,2
0.349996364182578,0.349996364182578,30,incongruent,pre,8,8,SW,2
0.496804044615592,0.496804044615592,20,incongruent,pre,16,16,SW,2
1.21096315118509,1.21096315118509,10,incongruent,pre,24,24,SW,2
-0.396972526788992,0.396972526788992,10,incongruent,post,-24,24,SW,2
2.24392236653034,-2.24392236653034,20,incongruent,post,-16,16,SW,2
-3.90224218762677,3.90224218762677,30,incongruent,post,-8,8,SW,2
-3.01953046398272,-3.01953046398272,40,incongruent,post,0,0,SW,2
-0.350669644875274,-0.350669644875274,30,incongruent,post,8,8,SW,2
-3.42513946401413,-3.42513946401413,20,incongruent,post,16,16,SW,2
-3.10235382192643,-3.10235382192643,10,incongruent,post,24,24,SW,2
5.88659413279209,-5.88659413279209,10,congruent,pre,-24,24,HL,3
2.56954156077182,-2.56954156077182,20,congruent,pre,-16,16,HL,3
0.575576692057481,-0.575576692057481,30,congruent,pre,-8,8,HL,3
0.363574228473854,0.363574228473854,40,congruent,pre,0,0,HL,3
2.83356558301436,2.83356558301436,30,congruent,pre,8,8,HL,3
-0.408039624935433,-0.408039624935433,20,congruent,pre,16,16,HL,3
-4.1193374916954,-4.1193374916954,10,congruent,pre,24,24,HL,3
9.08067131065497,-9.08067131065497,10,congruent,post,-24,24,HL,3
6.98648529544166,-6.98648529544166,20,congruent,post,-16,16,HL,3
1.1538667416151,-1.1538667416151,30,congruent,post,-8,8,HL,3
1.705041299056,1.705041299056,40,congruent,post,0,0,HL,3
3.52844947877258,3.52844947877258,30,congruent,post,8,8,HL,3
-0.390932644360189,-0.390932644360189,20,congruent,post,16,16,HL,3
-0.494174341078378,-0.494174341078378,10,congruent,post,24,24,HL,3
1.98017811314678,-1.98017811314678,10,incongruent,pre,-24,24,HL,3
0.646278086435688,-0.646278086435688,20,incongruent,pre,-16,16,HL,3
-0.879142645098549,0.879142645098549,30,incongruent,pre,-8,8,HL,3
1.17280279127919,1.17280279127919,40,incongruent,pre,0,0,HL,3
6.46463954986925,6.46463954986925,30,incongruent,pre,8,8,HL,3
5.56734441606924,5.56734441606924,20,incongruent,pre,16,16,HL,3
6.5481146601541,6.5481146601541,10,incongruent,pre,24,24,HL,3
4.54626263481196,-4.54626263481196,10,incongruent,post,-24,24,HL,3
2.97114403748826,-2.97114403748826,20,incongruent,post,-16,16,HL,3
-1.57912318197363,1.57912318197363,30,incongruent,post,-8,8,HL,3
0.502027429759287,0.502027429759287,40,incongruent,post,0,0,HL,3
0.362284244050182,0.362284244050182,30,incongruent,post,8,8,HL,3
-1.39278788733428,-1.39278788733428,20,incongruent,post,16,16,HL,3
-1.94210601055864,-1.94210601055864,10,incongruent,post,24,24,HL,3
-6.206819010093,6.206819010093,10,congruent,pre,-24,24,YZ,4
-6.84587450220013,6.84587450220013,20,congruent,pre,-16,16,YZ,4
-4.44489776477472,4.44489776477472,30,congruent,pre,-8,8,YZ,4
-1.42477204934818,-1.42477204934818,40,congruent,pre,0,0,YZ,4
4.67712638316126,4.67712638316126,30,congruent,pre,8,8,YZ,4
5.21255347104657,5.21255347104657,20,congruent,pre,16,16,YZ,4
9.28753146638663,9.28753146638663,10,congruent,pre,24,24,YZ,4
-7.3230024130952,7.3230024130952,10,congruent,post,-24,24,YZ,4
-5.05466330765533,5.05466330765533,20,congruent,post,-16,16,YZ,4
-6.73209396827533,6.73209396827533,30,congruent,post,-8,8,YZ,4
-1.49307329937626,-1.49307329937626,40,congruent,post,0,0,YZ,4
3.15716492017493,3.15716492017493,30,congruent,post,8,8,YZ,4
1.88457065086409,1.88457065086409,20,congruent,post,16,16,YZ,4
4.91726838903526,4.91726838903526,10,congruent,post,24,24,YZ,4
-9.67407619974923,9.67407619974923,10,incongruent,pre,-24,24,YZ,4
-7.14219406984563,7.14219406984563,20,incongruent,pre,-16,16,YZ,4
-7.3449027116215,7.3449027116215,30,incongruent,pre,-8,8,YZ,4
-1.74123139490529,-1.74123139490529,40,incongruent,pre,0,0,YZ,4
4.57704719777163,4.57704719777163,30,incongruent,pre,8,8,YZ,4
6.03930994332103,6.03930994332103,20,incongruent,pre,16,16,YZ,4
8.03220628135458,8.03220628135458,10,incongruent,pre,24,24,YZ,4
-6.5177374200299,6.5177374200299,10,incongruent,post,-24,24,YZ,4
-7.85205498336799,7.85205498336799,20,incongruent,post,-16,16,YZ,4
-8.43579871156374,8.43579871156374,30,incongruent,post,-8,8,YZ,4
-1.45384698951935,-1.45384698951935,40,incongruent,post,0,0,YZ,4
6.74790791730917,6.74790791730917,30,incongruent,post,8,8,YZ,4
10.698962141525,10.698962141525,20,incongruent,post,16,16,YZ,4
13.2624140789532,13.2624140789532,10,incongruent,post,24,24,YZ,4
-10.7619839188332,10.7619839188332,10,congruent,pre,-24,24,NH,5
-8.51029698431694,8.51029698431694,20,congruent,pre,-16,16,NH,5
-5.23099125203218,5.23099125203218,30,congruent,pre,-8,8,NH,5
1.54906580064596,1.54906580064596,40,congruent,pre,0,0,NH,5
9.93726851703627,9.93726851703627,30,congruent,pre,8,8,NH,5
11.1348356791922,11.1348356791922,20,congruent,pre,16,16,NH,5
13.8971732555475,13.8971732555475,10,congruent,pre,24,24,NH,5
-11.9619563181686,11.9619563181686,10,congruent,post,-24,24,NH,5
-9.62913989099791,9.62913989099791,20,congruent,post,-16,16,NH,5
-5.78435924044593,5.78435924044593,30,congruent,post,-8,8,NH,5
0.643547099045199,0.643547099045199,40,congruent,post,0,0,NH,5
6.90270080277519,6.90270080277519,30,congruent,post,8,8,NH,5
12.8662263014842,12.8662263014842,20,congruent,post,16,16,NH,5
13.7852242671344,13.7852242671344,10,congruent,post,24,24,NH,5
-8.60982229813888,8.60982229813888,10,incongruent,pre,-24,24,NH,5
-11.2608360514878,11.2608360514878,20,incongruent,pre,-16,16,NH,5
-5.33345645736798,5.33345645736798,30,incongruent,pre,-8,8,NH,5
-0.0858597483052856,-0.0858597483052856,40,incongruent,pre,0,0,NH,5
8.32761441328554,8.32761441328554,30,incongruent,pre,8,8,NH,5
12.1728153289599,12.1728153289599,20,incongruent,pre,16,16,NH,5
12.3067895179023,12.3067895179023,10,incongruent,pre,24,24,NH,5
-14.2372630625122,14.2372630625122,10,incongruent,post,-24,24,NH,5
-9.80918399153468,9.80918399153468,20,incongruent,post,-16,16,NH,5
-7.25973181885387,7.25973181885387,30,incongruent,post,-8,8,NH,5
0.711966743508879,0.711966743508879,40,incongruent,post,0,0,NH,5
6.83042723904067,6.83042723904067,30,incongruent,post,8,8,NH,5
10.4692911501654,10.4692911501654,20,incongruent,post,16,16,NH,5
9.05060419839475,9.05060419839475,10,incongruent,post,24,24,NH,5
0.0541027470181117,-0.0541027470181117,10,congruent,pre,-24,24,ZZ,6
-2.21698414126631,2.21698414126631,20,congruent,pre,-16,16,ZZ,6
-2.93121348526123,2.93121348526123,30,congruent,pre,-8,8,ZZ,6
1.54060829967344,1.54060829967344,40,congruent,pre,0,0,ZZ,6
1.21876945475974,1.21876945475974,30,congruent,pre,8,8,ZZ,6
1.35252206884738,1.35252206884738,20,congruent,pre,16,16,ZZ,6
1.24772003190071,1.24772003190071,10,congruent,pre,24,24,ZZ,6
-0.479648456193533,0.479648456193533,10,congruent,post,-24,24,ZZ,6
-4.24170756347681,4.24170756347681,20,congruent,post,-16,16,ZZ,6
-2.7693630209397,2.7693630209397,30,congruent,post,-8,8,ZZ,6
2.38161650626761,2.38161650626761,40,congruent,post,0,0,ZZ,6
7.46900899835895,7.46900899835895,30,congruent,post,8,8,ZZ,6
7.78996150287188,7.78996150287188,20,congruent,post,16,16,ZZ,6
6.29414417368728,6.29414417368728,10,congruent,post,24,24,ZZ,6
0.224490286036584,-0.224490286036584,10,incongruent,pre,-24,24,ZZ,6
-1.67578260431325,1.67578260431325,20,incongruent,pre,-16,16,ZZ,6
-1.04269575387852,1.04269575387852,30,incongruent,pre,-8,8,ZZ,6
2.52435663098164,2.52435663098164,40,incongruent,pre,0,0,ZZ,6
6.64857220141636,6.64857220141636,30,incongruent,pre,8,8,ZZ,6
6.12777384589522,6.12777384589522,20,incongruent,pre,16,16,ZZ,6
5.93763188054131,5.93763188054131,10,incongruent,pre,24,24,ZZ,6
3.71670645021655,-3.71670645021655,10,incongruent,post,-24,24,ZZ,6
0.509290777288234,-0.509290777288234,20,incongruent,post,-16,16,ZZ,6
-2.31375718655637,2.31375718655637,30,incongruent,post,-8,8,ZZ,6
1.85407668827865,1.85407668827865,40,incongruent,post,0,0,ZZ,6
5.10547940459749,5.10547940459749,30,incongruent,post,8,8,ZZ,6
1.88368328064183,1.88368328064183,20,incongruent,post,16,16,ZZ,6
0.832454164289351,0.832454164289351,10,incongruent,post,24,24,ZZ,6
-3.75762732844912,3.75762732844912,10,congruent,pre,-24,24,BB,7
-2.33201874814669,2.33201874814669,20,congruent,pre,-16,16,BB,7
-4.06630875552331,4.06630875552331,30,congruent,pre,-8,8,BB,7
1.49870862232103,1.49870862232103,40,congruent,pre,0,0,BB,7
8.20509572664407,8.20509572664407,30,congruent,pre,8,8,BB,7
9.87581840023728,9.87581840023728,20,congruent,pre,16,16,BB,7
8.21339232135981,8.21339232135981,10,congruent,pre,24,24,BB,7
-3.99713392310933,3.99713392310933,10,congruent,post,-24,24,BB,7
-3.49075275273171,3.49075275273171,20,congruent,post,-16,16,BB,7
-2.82214240922056,2.82214240922056,30,congruent,post,-8,8,BB,7
2.11043993931536,2.11043993931536,40,congruent,post,0,0,BB,7
8.33035890869788,8.33035890869788,30,congruent,post,8,8,BB,7
9.24521380796592,9.24521380796592,20,congruent,post,16,16,BB,7
9.66368605005218,9.66368605005218,10,congruent,post,24,24,BB,7
-1.06218286640703,1.06218286640703,10,incongruent,pre,-24,24,BB,7
-0.763944249229481,0.763944249229481,20,incongruent,pre,-16,16,BB,7
-2.56685672460055,2.56685672460055,30,incongruent,pre,-8,8,BB,7
0.563547338236475,0.563547338236475,40,incongruent,pre,0,0,BB,7
5.39250164747981,5.39250164747981,30,incongruent,pre,8,8,BB,7
3.30601169447842,3.30601169447842,20,incongruent,pre,16,16,BB,7
0.452260164107436,0.452260164107436,10,incongruent,pre,24,24,BB,7
-3.73936823223576,3.73936823223576,10,incongruent,post,-24,24,BB,7
-5.14114976341101,5.14114976341101,20,incongruent,post,-16,16,BB,7
-4.53559628643631,4.53559628643631,30,incongruent,post,-8,8,BB,7
1.65488025017011,1.65488025017011,40,incongruent,post,0,0,BB,7
8.29950848897012,8.29950848897012,30,incongruent,post,8,8,BB,7
10.4729371630002,10.4729371630002,20,incongruent,post,16,16,BB,7
9.61889535132408,9.61889535132408,10,incongruent,post,24,24,BB,7
-3.60565088685644,3.60565088685644,10,congruent,pre,-24,24,ZY,8
-8.77354665281032,8.77354665281032,20,congruent,pre,-16,16,ZY,8
-2.12167720618316,2.12167720618316,30,congruent,pre,-8,8,ZY,8
1.02433603255193,1.02433603255193,40,congruent,pre,0,0,ZY,8
7.51688809829019,7.51688809829019,30,congruent,pre,8,8,ZY,8
4.3408750904677,4.3408750904677,20,congruent,pre,16,16,ZY,8
6.13564438336203,6.13564438336203,10,congruent,pre,24,24,ZY,8
-0.0607815050090114,0.0607815050090114,10,congruent,post,-24,24,ZY,8
-3.55765215932308,3.55765215932308,20,congruent,post,-16,16,ZY,8
0.0232448962528373,-0.0232448962528373,30,congruent,post,-8,8,ZY,8
3.50129825912861,3.50129825912861,40,congruent,post,0,0,ZY,8
