UnityJudgment,Condition,Phase,SpatialD,SpatialD_abs,SubjI
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
1,congruent,post,8,8,PW
0,congruent,post,8,8,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
1,congruent,post,16,16,PW
0,congruent,post,16,16,PW
0,congruent,post,16,16,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,congruent,post,24,24,PW
1,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
0,incongruent,pre,-24,24,PW
1,incongruent,pre,-16,16,PW
1,incongruent,pre,-16,16,PW
1,incongruent,pre,-16,16,PW
1,incongruent,pre,-16,16,PW
1,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
0,incongruent,pre,-16,16,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
1,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
0,incongruent,pre,-8,8,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
1,incongruent,pre,0,0,PW
