VE_Vshift,VE_Vshift_crr,nTrials,Condition,Phase,SpatialD,SpatialD_abs,SubjI,subjN
-0.5886858393793,-0.5886858393793,10,congruent,pre,-24,24,PW,1
0.759882938341555,0.759882938341555,20,congruent,pre,-16,16,PW,1
0.6246794750272,0.6246794750272,30,congruent,pre,-8,8,PW,1
0.192993327906667,0.192993327906667,40,congruent,pre,0,0,PW,1
-0.742454562361429,0.742454562361429,30,congruent,pre,8,8,PW,1
-0.488774749371409,0.488774749371409,20,congruent,pre,16,16,PW,1
-1.32170736378142,1.32170736378142,10,congruent,pre,24,24,PW,1
0.775114891941614,0.775114891941614,10,congruent,post,-24,24,PW,1
0.302442976434476,0.302442976434476,20,congruent,post,-16,16,PW,1
-0.227254593581677,-0.227254593581677,30,congruent,post,-8,8,PW,1
-0.224187023467974,-0.224187023467974,40,congruent,post,0,0,PW,1
-1.01076966306037,1.01076966306037,30,congruent,post,8,8,PW,1
-1.48478992537417,1.48478992537417,20,congruent,post,16,16,PW,1
-2.81371467701392,2.81371467701392,10,congruent,post,24,24,PW,1
-0.108025743751856,-0.108025743751856,10,incongruent,pre,-24,24,PW,1
-0.176755854053915,-0.176755854053915,20,incongruent,pre,-16,16,PW,1
-0.470636187976435,-0.470636187976435,30,incongruent,pre,-8,8,PW,1
0.00224386087700434,0.00224386087700434,40,incongruent,pre,0,0,PW,1
0.0482495592431548,-0.0482495592431548,30,incongruent,pre,8,8,PW,1
0.456869809332006,-0.456869809332006,20,incongruent,pre,16,16,PW,1
0.279792673278106,-0.279792673278106,10,incongruent,pre,24,24,PW,1
0.35769340080718,0.35769340080718,10,incongruent,post,-24,24,PW,1
0.429042545580579,0.429042545580579,20,incongruent,post,-16,16,PW,1
0.533898037569283,0.533898037569283,30,incongruent,post,-8,8,PW,1
0.138720101771571,0.138720101771571,40,incongruent,post,0,0,PW,1
-0.32439469895966,0.32439469895966,30,incongruent,post,8,8,PW,1
-0.738083136779839,0.738083136779839,20,incongruent,post,16,16,PW,1
-1.31482378885659,1.31482378885659,10,incongruent,post,24,24,PW,1
1.04146705958058,1.04146705958058,10,congruent,pre,-24,24,SW,2
1.15279123227292,1.15279123227292,20,congruent,pre,-16,16,SW,2
0.0247768772686269,0.0247768772686269,30,congruent,pre,-8,8,SW,2
-0.197945046543268,-0.197945046543268,40,congruent,pre,0,0,SW,2
-0.235893797796597,0.235893797796597,30,congruent,pre,8,8,SW,2
-1.69717245752529,1.69717245752529,20,congruent,pre,16,16,SW,2
-1.89483829847246,1.89483829847246,10,congruent,pre,24,24,SW,2
2.52217254111915,2.52217254111915,10,congruent,post,-24,24,SW,2
1.10177125753083,1.10177125753083,20,congruent,post,-16,16,SW,2
