VE_Ashift_absD,VE_Vshift_absD,SpatialD_abs,SubjI
2.69354545047708,0.0274425667718169,0,PW
4.82786045547174,0.311257012022085,8,PW
4.9100935418998,0.446173826062014,16,PW
6.03365597079638,0.700818733248932,24,PW
-2.96604469744234,-0.209184937935509,0,SW
3.10606912560744,0.0259542064572263,8,SW
2.66280278487326,0.667784958639538,16,SW
4.31642874489466,1.04968286457967,24,SW
0.935861437142084,0.281242044611875,0,HL
1.73972015613825,-0.11730644620287,8,HL
-1.22473309008726,-0.132045124482157,16,HL
-2.68765117182301,0.260529642080773,24,HL
-1.52823093328727,-0.240411396717231,0,YZ
5.76461744683154,0.181290424438437,8,YZ
6.34127288372823,0.489226432971199,16,YZ
8.15263190733713,1.15610175912615,24,YZ
0.704679973723689,-0.552494298183196,0,NH
6.9508187176047,0.322222925561837,8,NH
10.7315781722674,1.2243478367831,16,NH
11.826352104579,1.81359368844585,24,NH
2.07516453130033,0.375423413720978,0,ZZ
3.68735743822104,-0.338863837146666,8,ZZ
3.09739052875306,-0.788450317560955,16,ZZ
1.34953740291762,-1.20615752629543,24,ZZ
1.45689403751074,-0.566743286403702,0,BB
5.52729611844658,0.0360488503026665,8,BB
5.5784808224001,0.330336864076236,16,BB
5.06306827963059,0.352807570789792,24,BB
1.47567011562374,-0.3456109789571,0,ZY
3.29096917686664,0.0447682429469396,8,ZY
4.6568005445457,-0.357574255965347,16,ZY
2.67593942162851,-0.627257606378866,24,ZY
0.150508089996029,0.479148996816397,0,MR
3.11706423716371,0.258093583918679,8,MR
5.73306173002434,0.782749139541763,16,MR
6.07373803120379,1.30180475924774,24,MR
1.41700278654537,0.404386626472159,0,ZL
3.71476741330799,0.168666425027201,8,ZL
3.31259683057617,0.0810906590996783,16,ZL
3.83262450611886,0.301007152597952,24,ZL
3.71088406406637,-0.669275431329374,0,RE
3.72562240800719,0.546836592796291,8,RE
3.55694860704862,0.983275093347762,16,RE
3.12581349956937,1.02399345311011,24,RE
1.57850807272721,-0.23500313265892,0,MM
1.18770148521885,0.560900461843181,8,MM
-0.385996437968599,0.986559224813876,16,MM
-0.361316788416661,1.7475505673374,24,MM
1.77702565626728,-0.0926264345505122,0,LL
4.95638070809621,0.275950506650148,8,LL
7.42502400635954,0.673853891298542,16,LL
7.5957314596196,0.584909465480137,24,LL
-0.589275917048637,-0.340899987522367,0,CS
4.98237799426749,-0.109782079498777,8,CS
8.34159858231028,0.371421669619375,16,CS
6.94587845339618,0.640323602127612,24,CS
2.17276014702236,-0.242031609445334,0,JH
3.4443498989522,-0.56602116075463,8,JH
5.38744537352712,-1.00176691849889,16,JH
9.08636023143772,-1.46514719272795,24,JH
3.39002372981906,-0.0946086241934908,0,MD
6.2996550603221,-0.62631593186515,8,MD
10.4923573603007,-0.991116568008161,16,MD
11.0650906686737,-1.01153968667577,24,MD
2.21387859685987,0.300733311777005,0,HHL
6.11079037123935,-0.0438626481925019,8,HHL
11.4932943826392,0.335124276212762,16,HHL
17.8681549648301,0.0480510946735538,24,HHL
