LocShifts,LocShifts_corr,Condition,Phase,Modality,SpatialD,SpatialD_abs,SubjI
5.59163364776242,-5.59163364776242,congruent,pre,A,-24,24,PW
3.04185071696501,-3.04185071696501,congruent,pre,A,-24,24,PW
8.27173548324622,-8.27173548324622,congruent,pre,A,-24,24,PW
3.62398638402883,-3.62398638402883,congruent,pre,A,-24,24,PW
11.2962186414659,-11.2962186414659,congruent,pre,A,-24,24,PW
14.4387155444312,-14.4387155444312,congruent,pre,A,-24,24,PW
6.40342223306993,-6.40342223306993,congruent,pre,A,-24,24,PW
4.35876706953882,-4.35876706953882,congruent,pre,A,-24,24,PW
3.33120652640986,-3.33120652640986,congruent,pre,A,-24,24,PW
-16.0883448939288,16.0883448939288,congruent,pre,A,-24,24,PW
-0.219607754523516,-0.219607754523516,congruent,pre,V,-24,24,PW
0.254413333697212,0.254413333697212,congruent,pre,V,-24,24,PW
-0.0706274565180891,-0.0706274565180891,congruent,pre,V,-24,24,PW
0.431626123208266,0.431626123208266,congruent,pre,V,-24,24,PW
-3.40297202263989,-3.40297202263989,congruent,pre,V,-24,24,PW
-0.780737565500885,-0.780737565500885,congruent,pre,V,-24,24,PW
1.05854585615729,1.05854585615729,congruent,pre,V,-24,24,PW
-0.012254221845426,-0.012254221845426,congruent,pre,V,-24,24,PW
-1.23666472667679,-1.23666472667679,congruent,pre,V,-24,24,PW
-1.90857995915119,-1.90857995915119,congruent,pre,V,-24,24,PW
0.130129061635342,-0.130129061635342,congruent,pre,A,-16,16,PW
-0.469808790944003,0.469808790944003,congruent,pre,A,-16,16,PW
-10.4140997357185,10.4140997357185,congruent,pre,A,-16,16,PW
0.825389938323442,-0.825389938323442,congruent,pre,A,-16,16,PW
1.95192381195002,-1.95192381195002,congruent,pre,A,-16,16,PW
0.664599391091824,-0.664599391091824,congruent,pre,A,-16,16,PW
-0.36436869815938,0.36436869815938,congruent,pre,A,-16,16,PW
-0.62384747169715,0.62384747169715,congruent,pre,A,-16,16,PW
10.693362103905,-10.693362103905,congruent,pre,A,-16,16,PW
-8.30988092243202,8.30988092243202,congruent,pre,A,-16,16,PW
4.96392632829668,-4.96392632829668,congruent,pre,A,-16,16,PW
6.4738711572754,-6.4738711572754,congruent,pre,A,-16,16,PW
2.17119482190391,-2.17119482190391,congruent,pre,A,-16,16,PW
0.1435505039156,-0.1435505039156,congruent,pre,A,-16,16,PW
8.04151954127063,-8.04151954127063,congruent,pre,A,-16,16,PW
5.00871156057335,-5.00871156057335,congruent,pre,A,-16,16,PW
14.6713838539529,-14.6713838539529,congruent,pre,A,-16,16,PW
13.3201510581454,-13.3201510581454,congruent,pre,A,-16,16,PW
19.8656879487824,-19.8656879487824,congruent,pre,A,-16,16,PW
-10.5441005878138,10.5441005878138,congruent,pre,A,-16,16,PW
-0.562176245184787,-0.562176245184787,congruent,pre,V,-16,16,PW
-0.221523797196911,-0.221523797196911,congruent,pre,V,-16,16,PW
-0.858965428714047,-0.858965428714047,congruent,pre,V,-16,16,PW
0.268418087611144,0.268418087611144,congruent,pre,V,-16,16,PW
0.467642938258168,0.467642938258168,congruent,pre,V,-16,16,PW
2.18101097965337,2.18101097965337,congruent,pre,V,-16,16,PW
-0.422021281443856,-0.422021281443856,congruent,pre,V,-16,16,PW
0.647025163335543,0.647025163335543,congruent,pre,V,-16,16,PW
-0.463563010426657,-0.463563010426657,congruent,pre,V,-16,16,PW
0.735690650921834,0.735690650921834,congruent,pre,V,-16,16,PW
1.00434189515235,1.00434189515235,congruent,pre,V,-16,16,PW
1.3603996575161,1.3603996575161,congruent,pre,V,-16,16,PW
2.36553816067083,2.36553816067083,congruent,pre,V,-16,16,PW
0.498628571093234,0.498628571093234,congruent,pre,V,-16,16,PW
-1.11858267366116,-1.11858267366116,congruent,pre,V,-16,16,PW
1.186045029904,1.186045029904,congruent,pre,V,-16,16,PW
-0.360623377552193,-0.360623377552193,congruent,pre,V,-16,16,PW
0.931103615427297,0.931103615427297,congruent,pre,V,-16,16,PW
6.67954265830305,6.67954265830305,congruent,pre,V,-16,16,PW
0.87972717316381,0.87972717316381,congruent,pre,V,-16,16,PW
3.38416951948473,-3.38416951948473,congruent,pre,A,-8,8,PW
4.50324768813464,-4.50324768813464,congruent,pre,A,-8,8,PW
3.83718631071093,-3.83718631071093,congruent,pre,A,-8,8,PW
4.12733325378731,-4.12733325378731,congruent,pre,A,-8,8,PW
1.34309128097962,-1.34309128097962,congruent,pre,A,-8,8,PW
-7.73335665864582,7.73335665864582,congruent,pre,A,-8,8,PW
2.70297013888579,-2.70297013888579,congruent,pre,A,-8,8,PW
-7.16852445653838,7.16852445653838,congruent,pre,A,-8,8,PW
5.36293665346037,-5.36293665346037,congruent,pre,A,-8,8,PW
-7.37733112705395,7.37733112705395,congruent,pre,A,-8,8,PW
-2.30569004663253,2.30569004663253,congruent,pre,A,-8,8,PW
-2.35395273878109,2.35395273878109,congruent,pre,A,-8,8,PW
7.33933887235427,-7.33933887235427,congruent,pre,A,-8,8,PW
-2.41810952479688,2.41810952479688,congruent,pre,A,-8,8,PW
-2.09330375981369,2.09330375981369,congruent,pre,A,-8,8,PW
-2.53221679036139,2.53221679036139,congruent,pre,A,-8,8,PW
10.3868875616405,-10.3868875616405,congruent,pre,A,-8,8,PW
-2.24379638773253,2.24379638773253,congruent,pre,A,-8,8,PW
18.4110051496245,-18.4110051496245,congruent,pre,A,-8,8,PW
-3.52999188618444,3.52999188618444,congruent,pre,A,-8,8,PW
-1.99948771368009,1.99948771368009,congruent,pre,A,-8,8,PW
