Stimulus Location V,Responses V,RTs V,Stimulus Location A,Responses A,RTs A,Phase,sesN,SD_V,V relative to A,deMean resp V,deMean resp A,outlier V,outlier A
-12.203521501476501,-10.997067448680383,3.444343977,7.5,10.703812316715528,5.064446338,0.0,1.0,8.7,-1.0,1.502932551319633,-0.8594004561746615,0.0,0
-12.203521501476501,-10.11730205278596,2.064146083,-2.5,-3.665689149560109,7.67475861,0.0,1.0,8.7,-1.0,2.382697947214057,2.7574128380580087,0.0,0
4.193546674185501,6.8914956011730055,1.498013262,-7.5,-16.275659824046926,3.230278962,0.0,1.0,8.7,-1.0,2.7370478983382105,-2.101661779081125,0.0,0
-4.004987413645501,-1.906158357771261,6.832783929,2.5,-10.11730205278596,4.747563084,0.0,1.0,8.7,-1.0,1.7310198761811617,-10.520527859237568,0.0,0
-12.203521501476501,-13.636363636363654,1.899360859,-7.5,-15.395894428152504,2.41794075,0.0,1.0,8.7,-1.0,-1.1363636363636385,-1.221896383186703,0.0,0
4.193546674185501,5.425219941348956,1.427800907,2.5,5.425219941348956,10.055414059,0.0,1.0,8.7,-1.0,1.2707722385141613,5.021994134897347,0.0,0
-12.203521501476501,-11.58357771260998,1.746370486,-2.5,-9.237536656891479,1.755650435,0.0,1.0,8.7,-1.0,0.9164222873900361,-2.8144346692733606,0.0,0
4.193546674185501,2.4926686217008864,1.39794969,7.5,9.824046920821104,3.1048323,0.0,1.0,8.7,-1.0,-1.6617790811339086,-1.7391658520690854,0.0,0
12.392080762016501,14.22287390029325,3.148233247,-2.5,-9.530791788856334,3.364862662,0.0,1.0,8.7,-1.0,1.4988595633756976,-3.107689801238216,0.0,0
-12.203521501476501,-10.410557184750758,2.052746012,-7.5,-17.741935483870975,3.831616693,0.0,1.0,8.7,-1.0,2.0894428152492583,-3.567937438905174,0.0,0
-12.203521501476501,-10.997067448680383,1.081756824,7.5,11.583577712609952,2.431345432,0.0,1.0,8.7,-1.0,1.502932551319633,0.020364939719762276,0.0,0
4.193546674185501,3.9589442815249356,3.349068366,2.5,11.290322580645153,3.281056438,0.0,1.0,8.7,-1.0,-0.19550342130985943,10.887096774193544,0.0,0
-12.203521501476501,-8.651026392961882,1.982512408,7.5,17.741935483870947,2.568245532,0.0,1.0,8.7,-1.0,3.8489736070381344,6.178722710980757,0.0,0
-12.203521501476501,-13.636363636363654,1.816098386,-2.5,-4.5454545454545325,3.04840488,0.0,1.0,8.7,-1.0,-1.1363636363636385,1.8776474421635854,0.0,0
-4.004987413645501,-7.184750733137833,2.116939397,-7.5,-17.155425219941378,2.065690589,0.0,1.0,8.7,-1.0,-3.5475724991854105,-2.981427174975577,0.0,0
4.193546674185501,6.8914956011730055,1.664206563,2.5,-0.14662756598241344,4.677159803,0.0,1.0,8.7,-1.0,2.7370478983382105,-0.5498533724340228,0.0,0
-4.004987413645501,-3.665689149560109,1.499517915,2.5,9.237536656891479,2.698306278,0.0,1.0,8.7,-1.0,-0.02851091560768637,8.83431085043987,0.0,0
12.392080762016501,14.22287390029325,2.633579437,-2.5,-16.275659824046926,2.614152047,0.0,1.0,8.7,-1.0,1.4988595633756976,-9.852557836428808,0.0,0
-12.203521501476501,-7.771260997067429,2.981889318,7.5,16.862170087976526,2.13238983,0.0,1.0,8.7,-1.0,4.728739002932587,5.298957315086337,0.0,0
12.392080762016501,9.237536656891479,2.2810893,-7.5,-18.035190615835802,2.140961393,0.0,1.0,8.7,-1.0,-3.4864776800260735,-3.861192570870001,0.0,0
-12.203521501476501,-11.58357771260998,1.231716597,2.5,-8.357771260997055,2.208189572,0.0,1.0,8.7,-1.0,0.9164222873900361,-8.760997067448663,0.0,0
4.193546674185501,2.4926686217008864,0.983031225,7.5,17.15542521994132,2.148671335,0.0,1.0,8.7,-1.0,-1.6617790811339086,5.592212447051132,0.0,0
12.392080762016501,15.395894428152475,1.665164768,-2.5,-19.794721407624653,3.966457702,0.0,1.0,8.7,-1.0,2.6718800912349234,-13.371619420006535,0.0,0
-4.004987413645501,-2.7859237536656845,1.481542389,-7.5,-19.208211143695024,2.530124629,0.0,1.0,8.7,-1.0,0.8512544802867383,-5.034213098729223,0.0,0
-4.004987413645501,3.0791788856304834,5.186421039,-7.5,-18.3284457478006,2.598599532,0.0,1.0,8.7,-1.0,6.716357119582906,-4.1544477028347995,0.0,0
4.193546674185501,1.0263929618768373,0.687907948,-2.5,9.824046920821104,2.990267991,0.0,1.0,8.7,-1.0,-3.1280547409579578,16.24714890843922,0.0,1
4.193546674185501,4.5454545454545325,1.682672332,2.5,10.41055718475073,3.649065845,0.0,1.0,8.7,-1.0,0.3910068426197375,10.00733137829912,0.0,0
4.193546674185501,6.011730205278582,2.498387218,7.5,8.651026392961882,2.298571137,0.0,1.0,8.7,-1.0,1.8572825024437867,-2.9121863799283076,0.0,0
-4.004987413645501,-6.011730205278582,1.765708143,-2.5,-5.718475073313784,2.815099636,0.0,1.0,8.7,-1.0,-2.374551971326159,0.7046269143043338,0.0,0
12.392080762016501,12.463343108504375,1.831927855,2.5,14.51612903225805,1.765561377,0.0,1.0,8.7,-1.0,-0.2606712284131767,14.112903225806441,0.0,0
12.392080762016501,13.343108504398826,1.436242933,-7.5,-19.794721407624653,3.886193651,0.0,1.0,8.7,-1.0,0.6190941674812738,-5.620723362658852,0.0,0
12.392080762016501,13.636363636363626,2.682238423,7.5,18.914956011730226,2.139372233,0.0,1.0,8.7,-1.0,0.912349299446074,7.3517432388400366,0.0,0
